,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
5469,Brooklyn,40.67042,-73.95608,Entire home/apt,115,2,76,283
5470,Manhattan,40.72699,-74.0012,Entire home/apt,110,30,3,333
5471,Manhattan,40.77323,-73.98014,Private room,100,3,172,214
5472,Manhattan,40.71185,-74.01719,Entire home/apt,225,3,2,0
5473,Brooklyn,40.61938,-73.92471,Entire home/apt,125,14,10,180
5474,Manhattan,40.733709999999995,-73.98576,Private room,150,1,1,0
5475,Brooklyn,40.68295,-73.91471999999999,Entire home/apt,199,4,9,0
5476,Manhattan,40.73152,-73.98676,Entire home/apt,250,3,12,0
5477,Brooklyn,40.68043,-73.93705,Entire home/apt,210,2,10,180
5478,Staten Island,40.63628,-74.07763,Entire home/apt,180,2,139,263
5479,Manhattan,40.72777,-73.99005,Entire home/apt,129,5,26,0
5480,Manhattan,40.79347,-73.95029,Private room,90,1,265,36
5481,Manhattan,40.82257,-73.95565,Private room,50,30,46,330
5482,Manhattan,40.72818,-73.9981,Entire home/apt,140,1,37,19
5483,Brooklyn,40.68692,-73.93113000000001,Entire home/apt,150,2,5,0
5484,Manhattan,40.72088,-73.98149000000001,Entire home/apt,233,30,17,364
5485,Manhattan,40.73057,-73.98725999999999,Entire home/apt,170,2,1,0
5486,Brooklyn,40.66303,-73.92526,Private room,60,2,6,326
5487,Brooklyn,40.6723,-73.95951,Entire home/apt,200,2,3,0
5488,Brooklyn,40.68781,-73.99415,Entire home/apt,160,4,0,0
5489,Manhattan,40.73771,-73.98058,Entire home/apt,150,30,1,342
5490,Brooklyn,40.712759999999996,-73.95114000000001,Entire home/apt,140,2,3,0
5491,Brooklyn,40.63762,-73.96155,Private room,65,1,0,0
5492,Brooklyn,40.67845,-73.99983,Private room,60,3,3,0
5493,Brooklyn,40.63562,-74.0235,Entire home/apt,130,3,1,83
5494,Brooklyn,40.68316,-73.96163,Entire home/apt,103,1,0,0
5495,Brooklyn,40.709740000000004,-73.95612,Private room,89,2,30,219
5496,Manhattan,40.787890000000004,-73.97679000000001,Private room,50,5,0,0
5497,Queens,40.74433,-73.91171999999999,Entire home/apt,150,2,110,294
5498,Manhattan,40.74819,-73.9856,Entire home/apt,240,3,7,0
5499,Manhattan,40.75592,-73.95515,Entire home/apt,1400,90,31,88
5500,Queens,40.74892,-73.88883,Entire home/apt,200,2,0,364
5501,Manhattan,40.8095,-73.95395,Private room,88,2,171,234
5502,Manhattan,40.8012,-73.95424,Shared room,75,1,6,315
5503,Manhattan,40.73923,-73.99826999999999,Entire home/apt,500,1,27,90
5504,Manhattan,40.74496,-73.99934,Entire home/apt,125,4,1,0
5505,Manhattan,40.80311,-73.96648,Private room,75,1,65,301
5506,Manhattan,40.73731,-73.98338000000001,Entire home/apt,130,30,2,335
5507,Manhattan,40.73256,-73.98558,Entire home/apt,170,30,11,319
5508,Manhattan,40.753190000000004,-74.00159000000001,Entire home/apt,300,2,11,137
5509,Brooklyn,40.68084,-73.94779,Entire home/apt,115,2,259,285
5510,Brooklyn,40.6876,-73.9167,Entire home/apt,93,30,23,226
5511,Brooklyn,40.68313,-73.9413,Entire home/apt,119,2,209,241
5512,Manhattan,40.714209999999994,-73.98793,Entire home/apt,180,6,24,51
5513,Manhattan,40.81453,-73.94807,Entire home/apt,226,3,8,303
5514,Brooklyn,40.67814,-73.9778,Entire home/apt,155,2,2,0
5515,Manhattan,40.73455,-74.00614,Entire home/apt,115,4,16,0
5516,Brooklyn,40.64119,-73.96295,Private room,50,2,4,0
5517,Manhattan,40.80395,-73.96436,Entire home/apt,600,1,0,344
5518,Manhattan,40.804520000000004,-73.96393,Private room,200,1,30,0
5519,Brooklyn,40.68329,-73.9609,Entire home/apt,157,4,3,0
5520,Brooklyn,40.6835,-73.92754000000001,Entire home/apt,145,3,122,269
5521,Queens,40.705909999999996,-73.89264,Private room,95,2,46,0
5522,Manhattan,40.80489,-73.95759,Entire home/apt,115,1,1,0
5523,Queens,40.76294,-73.91545,Private room,65,2,5,2
5524,Manhattan,40.80655,-73.94854000000001,Entire home/apt,275,1,0,0
5525,Queens,40.75568,-73.91578,Private room,250,2,22,123
5526,Manhattan,40.72023,-73.99693,Private room,95,3,135,9
5527,Brooklyn,40.66972,-73.97954,Entire home/apt,185,4,111,9
5528,Manhattan,40.807320000000004,-73.93775,Private room,55,1,163,359
5529,Manhattan,40.72322,-73.99351,Entire home/apt,350,1,1,0
5530,Manhattan,40.71891,-73.98592,Private room,170,5,22,259
5531,Brooklyn,40.667229999999996,-73.98043,Entire home/apt,100,2,18,58
5532,Manhattan,40.84787,-73.93306,Private room,36,2,10,0
5533,Brooklyn,40.68163,-73.98088,Private room,60,1,1,0
5534,Brooklyn,40.67918,-73.95318,Private room,125,2,1,0
5535,Brooklyn,40.71908,-73.95675,Entire home/apt,120,2,135,66
5536,Manhattan,40.704570000000004,-74.00733000000001,Shared room,90,1,8,0
5537,Manhattan,40.81586,-73.94117,Entire home/apt,129,5,91,260
5538,Queens,40.74561,-73.88514,Entire home/apt,78,2,133,107
5539,Manhattan,40.72102,-73.98621999999999,Entire home/apt,120,1,0,0
5540,Manhattan,40.729240000000004,-74.00148,Private room,99,2,21,268
5541,Bronx,40.87786,-73.87640999999999,Private room,50,1,108,261
5542,Manhattan,40.834559999999996,-73.94344,Private room,16,14,0,0
5543,Bronx,40.85696,-73.91439,Private room,47,2,122,71
5544,Brooklyn,40.68693,-73.95725,Entire home/apt,150,5,18,254
5545,Staten Island,40.57718,-74.13981,Entire home/apt,200,2,49,360
5546,Brooklyn,40.66649,-73.92855,Entire home/apt,125,2,130,293
5547,Brooklyn,40.674409999999995,-73.92371,Entire home/apt,60,6,144,59
5548,Queens,40.7525,-73.88592,Private room,200,30,0,88
5549,Brooklyn,40.62918,-73.96348,Entire home/apt,100,3,9,0
5550,Queens,40.76269,-73.90816,Private room,99,1,15,322
5551,Manhattan,40.83428,-73.94738000000001,Private room,75,2,25,198
5552,Brooklyn,40.70588,-73.95421999999999,Private room,140,5,1,185
5553,Bronx,40.83331,-73.91741999999999,Entire home/apt,90,30,1,358
5554,Manhattan,40.75974,-73.9866,Shared room,59,2,58,345
5555,Manhattan,40.73118,-73.98794000000001,Entire home/apt,111,3,51,198
5556,Manhattan,40.83469,-73.93961,Entire home/apt,80,4,3,0
5557,Brooklyn,40.67152,-73.92687,Private room,80,1,0,0
5558,Manhattan,40.81118,-73.93977,Private room,50,14,5,0
5559,Manhattan,40.71399,-73.99107,Entire home/apt,300,4,7,0
5560,Brooklyn,40.6878,-73.97166999999999,Entire home/apt,90,4,3,0
5561,Manhattan,40.72087,-73.97952,Private room,119,1,49,84
5562,Queens,40.7653,-73.92661,Private room,69,4,22,311
5563,Manhattan,40.7908,-73.97723,Entire home/apt,260,2,0,0
5564,Brooklyn,40.724140000000006,-73.95355,Entire home/apt,185,2,114,16
5565,Queens,40.7517,-73.89478000000001,Entire home/apt,100,2,24,0
5566,Manhattan,40.772220000000004,-73.98923,Shared room,85,1,33,0
5567,Manhattan,40.71972,-73.99986,Private room,135,2,125,340
5568,Brooklyn,40.66898,-73.97831,Private room,169,1,151,0
5569,Brooklyn,40.688520000000004,-73.92393,Private room,38,2,50,126
5570,Brooklyn,40.70102,-73.92864,Private room,90,2,52,288
5571,Manhattan,40.8242,-73.93789,Private room,45,4,1,0
5572,Brooklyn,40.6501,-73.97985,Entire home/apt,149,4,143,254
5573,Brooklyn,40.68436,-73.96223,Entire home/apt,200,2,14,0
5574,Manhattan,40.76365,-73.94914,Entire home/apt,125,60,6,278
5575,Brooklyn,40.72607,-73.95103,Private room,65,2,26,6
5576,Brooklyn,40.72527,-73.95016,Entire home/apt,174,2,31,12
5577,Brooklyn,40.69361,-73.93848,Private room,89,2,24,339
5578,Brooklyn,40.66202,-73.98589,Entire home/apt,150,3,8,0
5579,Brooklyn,40.66042,-73.95915,Private room,75,18,0,0
5580,Queens,40.6844,-73.8472,Private room,58,1,2,364
5581,Brooklyn,40.67017,-73.97752,Private room,103,30,45,0
5582,Manhattan,40.76331,-73.99262,Entire home/apt,383,3,24,251
5583,Brooklyn,40.684540000000005,-73.96382,Private room,40,1,1,0
5584,Queens,40.75977,-73.92904,Private room,76,1,14,225
5585,Manhattan,40.79408,-73.9757,Private room,170,1,3,0
5586,Manhattan,40.80617,-73.93868,Private room,45,1,151,357
5587,Brooklyn,40.69587,-73.95114000000001,Private room,100,3,0,352
5588,Manhattan,40.72525,-73.99636,Entire home/apt,199,2,167,17
5589,Manhattan,40.87279,-73.91991,Entire home/apt,99,5,61,1
5590,Brooklyn,40.64047,-74.00842,Private room,39,1,51,273
5591,Queens,40.70046,-73.90692,Entire home/apt,60,21,5,0
5592,Brooklyn,40.68439,-73.92811,Entire home/apt,130,3,132,257
5593,Brooklyn,40.71236,-73.9379,Entire home/apt,200,1,170,303
5594,Brooklyn,40.64434,-73.94830999999999,Private room,65,1,0,0
5595,Manhattan,40.77462,-73.95461,Private room,105,1,239,287
5596,Brooklyn,40.653009999999995,-73.95241,Entire home/apt,115,3,64,0
5597,Manhattan,40.81575,-73.9537,Entire home/apt,145,7,34,0
5598,Brooklyn,40.73357,-73.95439,Entire home/apt,75,2,102,30
5599,Brooklyn,40.70452,-73.98583,Entire home/apt,250,2,150,309
5600,Manhattan,40.7941,-73.94045,Private room,80,2,2,0
5601,Manhattan,40.71995,-73.99975,Private room,120,3,71,304
5602,Brooklyn,40.71413,-73.94868000000001,Private room,100,4,32,0
5603,Manhattan,40.75735,-73.99603,Private room,125,10,12,0
5604,Brooklyn,40.71009,-73.96471,Entire home/apt,132,3,2,0
5605,Brooklyn,40.66693,-73.98801,Entire home/apt,225,2,66,158
5606,Brooklyn,40.708079999999995,-73.94757,Entire home/apt,175,2,2,0
5607,Manhattan,40.71585,-73.99014,Entire home/apt,225,3,2,221
5608,Brooklyn,40.690129999999996,-73.92805,Entire home/apt,215,1,167,250
5609,Brooklyn,40.67815,-74.01443,Entire home/apt,300,7,9,32
5610,Manhattan,40.80856,-73.94573000000001,Entire home/apt,130,2,185,300
5611,Queens,40.67425,-73.75796,Entire home/apt,110,1,279,355
5612,Bronx,40.8806,-73.83433000000001,Private room,75,2,37,364
5613,Brooklyn,40.72631,-73.94126999999999,Private room,36,14,18,0
5614,Brooklyn,40.68634,-73.92515999999999,Entire home/apt,299,4,8,279
5615,Manhattan,40.72878,-73.98521,Entire home/apt,200,1,1,0
5616,Brooklyn,40.65741,-73.87854,Entire home/apt,110,3,9,36
5617,Brooklyn,40.713809999999995,-73.96065,Entire home/apt,160,30,44,226
5618,Brooklyn,40.68407,-73.95487,Entire home/apt,152,3,146,287
5619,Brooklyn,40.6921,-73.96797,Entire home/apt,145,3,16,96
5620,Brooklyn,40.70794,-73.92168000000001,Private room,120,2,11,365
5621,Brooklyn,40.7041,-73.92475999999999,Entire home/apt,84,3,120,224
5622,Manhattan,40.76965,-73.96258,Entire home/apt,160,5,13,0
5623,Brooklyn,40.68387,-73.95373000000001,Entire home/apt,150,5,14,363
5624,Queens,40.71291,-73.84678000000001,Entire home/apt,180,2,105,190
5625,Bronx,40.88009,-73.83442,Private room,68,2,41,365
5626,Manhattan,40.72651,-74.00014,Entire home/apt,125,1,0,1
5627,Brooklyn,40.69216,-73.90859,Private room,25,1,8,0
5628,Brooklyn,40.68663,-73.9379,Entire home/apt,155,3,1,342
5629,Manhattan,40.73131,-73.98321,Private room,105,2,0,0
5630,Brooklyn,40.630559999999996,-73.89043000000001,Entire home/apt,75,2,91,289
5631,Manhattan,40.8236,-73.94743000000001,Private room,80,4,2,0
5632,Manhattan,40.71273,-73.9882,Private room,72,3,56,304
5633,Brooklyn,40.686409999999995,-73.94735,Private room,52,2,29,335
5634,Brooklyn,40.67335,-73.99886,Entire home/apt,125,3,93,30
5635,Manhattan,40.78156,-73.97796,Private room,85,29,10,241
5636,Brooklyn,40.65157,-73.97383,Private room,58,4,18,58
5637,Brooklyn,40.72122,-73.94121,Private room,100,1,36,335
5638,Manhattan,40.72333,-73.98838,Private room,65,1,139,103
5639,Brooklyn,40.72452,-73.93916,Entire home/apt,300,1,12,362
5640,Brooklyn,40.705690000000004,-73.92268,Private room,40,28,191,95
5641,Queens,40.76177,-73.91359,Entire home/apt,110,2,47,0
5642,Brooklyn,40.63745,-74.02534,Private room,85,2,45,90
5643,Brooklyn,40.66617,-73.98626999999999,Entire home/apt,158,3,87,204
5644,Brooklyn,40.67284,-73.9521,Private room,65,1,0,0
5645,Manhattan,40.76032,-73.99076,Private room,100,2,8,0
5646,Brooklyn,40.71673,-73.94315999999999,Private room,64,5,4,0
5647,Brooklyn,40.67823,-73.99515,Entire home/apt,395,4,33,158
5648,Queens,40.74947,-73.91471999999999,Entire home/apt,120,10,30,142
5649,Bronx,40.87184,-73.88622,Private room,51,4,109,212
5650,Manhattan,40.70989,-74.00105,Entire home/apt,149,6,1,0
5651,Brooklyn,40.7105,-73.9438,Private room,65,1,113,308
5652,Queens,40.71293,-73.84915,Private room,70,1,11,183
5653,Manhattan,40.79145,-73.97709,Entire home/apt,170,5,1,0
5654,Manhattan,40.70499,-74.00819,Entire home/apt,150,1,2,0
5655,Manhattan,40.80738,-73.93706999999999,Entire home/apt,75,30,6,203
5656,Manhattan,40.78732,-73.97489,Private room,100,1,10,0
5657,Brooklyn,40.67673,-73.9362,Private room,38,2,12,351
5658,Manhattan,40.733270000000005,-73.98503000000001,Entire home/apt,200,3,13,157
5659,Manhattan,40.76468,-73.98514,Entire home/apt,145,7,37,97
5660,Brooklyn,40.67822,-73.95883,Entire home/apt,150,5,14,0
5661,Queens,40.74264,-73.95121999999999,Entire home/apt,200,1,2,0
5662,Brooklyn,40.67879,-73.93653,Entire home/apt,125,2,191,311
5663,Manhattan,40.74713,-73.98075,Private room,175,2,8,177
5664,Brooklyn,40.6883,-73.99132,Entire home/apt,180,2,2,0
5665,Manhattan,40.728840000000005,-73.98277,Entire home/apt,175,3,6,18
5666,Manhattan,40.75097,-73.99562,Entire home/apt,175,14,78,0
5667,Brooklyn,40.644490000000005,-73.97238,Private room,50,3,8,14
5668,Brooklyn,40.64335,-73.96316,Entire home/apt,109,2,37,356
5669,Brooklyn,40.687059999999995,-73.93077,Private room,67,2,21,58
5670,Brooklyn,40.68707,-73.93247,Private room,57,2,22,71
5671,Brooklyn,40.68627,-73.93131,Private room,77,2,38,66
5672,Brooklyn,40.69485,-73.93387,Private room,80,2,61,0
5673,Brooklyn,40.63146,-73.96486,Entire home/apt,85,3,12,97
5674,Brooklyn,40.69562,-73.93791999999999,Private room,86,2,11,311
5675,Brooklyn,40.63268,-73.96059,Private room,120,2,114,312
5676,Brooklyn,40.69682,-73.9837,Entire home/apt,140,3,131,28
5677,Brooklyn,40.68786,-73.97339000000001,Entire home/apt,300,1,5,0
5678,Manhattan,40.82498,-73.93629,Private room,90,1,5,0
5679,Manhattan,40.81892,-73.94646999999999,Private room,70,3,86,157
5680,Manhattan,40.80985,-73.94348000000001,Private room,90,2,82,0
5681,Manhattan,40.72005,-73.98649,Entire home/apt,200,30,35,286
5682,Manhattan,40.72934,-73.98603,Entire home/apt,135,1,6,0
5683,Brooklyn,40.70495,-73.9209,Private room,37,1,202,73
5684,Brooklyn,40.71243,-73.95655,Private room,60,1,1,0
5685,Manhattan,40.776070000000004,-73.98035,Entire home/apt,419,2,10,10
5686,Queens,40.70293,-73.90771,Entire home/apt,130,7,2,0
5687,Brooklyn,40.65282,-73.97394,Entire home/apt,180,3,56,121
5688,Manhattan,40.76968,-73.9593,Entire home/apt,160,2,7,0
5689,Brooklyn,40.72126,-73.94328,Entire home/apt,125,2,204,71
5690,Brooklyn,40.685140000000004,-73.93207,Entire home/apt,100,1,0,0
5691,Queens,40.711459999999995,-73.84676999999999,Private room,65,4,20,133
5692,Brooklyn,40.66355,-73.99547,Entire home/apt,140,1,0,0
5693,Queens,40.740590000000005,-73.91985,Private room,79,3,23,88
5694,Brooklyn,40.717940000000006,-73.95682,Private room,125,2,0,0
5695,Manhattan,40.74411,-74.00204000000001,Entire home/apt,115,3,33,11
5696,Manhattan,40.7555,-73.9926,Private room,100,23,12,23
5697,Brooklyn,40.67205,-73.95092,Private room,90,12,24,64
5698,Manhattan,40.80709,-73.94951999999999,Entire home/apt,135,2,232,192
5699,Brooklyn,40.660790000000006,-73.95693,Private room,50,3,47,76
5700,Brooklyn,40.67579,-73.9679,Private room,71,2,174,3
5701,Queens,40.70599,-73.89755,Entire home/apt,80,30,4,220
5702,Manhattan,40.76444,-73.98965,Private room,103,1,394,237
5703,Manhattan,40.79545,-73.96595,Entire home/apt,250,30,5,303
5704,Manhattan,40.72784,-73.99104,Entire home/apt,219,2,9,0
5705,Brooklyn,40.628640000000004,-73.89265,Entire home/apt,225,2,11,305
5706,Manhattan,40.79591,-73.93316,Entire home/apt,99,1,50,333
5707,Brooklyn,40.64076,-74.0224,Private room,35,6,1,0
5708,Manhattan,40.76805,-73.95424,Private room,90,4,87,10
5709,Queens,40.69518,-73.9038,Private room,47,30,4,157
5710,Brooklyn,40.67495,-73.93845,Private room,75,5,125,108
5711,Brooklyn,40.65337,-73.97483000000001,Entire home/apt,170,4,43,275
5712,Brooklyn,40.63512,-73.95815,Entire home/apt,150,3,37,320
5713,Brooklyn,40.63995,-73.96195999999999,Shared room,30,1,81,319
5714,Manhattan,40.78398,-73.97795,Private room,119,4,7,0
5715,Brooklyn,40.6251,-73.96163,Private room,40,15,1,0
5716,Brooklyn,40.6888,-73.97635,Entire home/apt,85,2,1,0
5717,Brooklyn,40.71007,-73.95653,Private room,99,3,19,354
5718,Manhattan,40.78085,-73.98470999999999,Entire home/apt,250,1,0,0
5719,Manhattan,40.71906,-73.98433,Private room,79,9,5,0
5720,Brooklyn,40.72022,-73.96055,Private room,60,3,5,0
5721,Brooklyn,40.6805,-73.93775,Entire home/apt,115,3,131,241
5722,Queens,40.77375,-73.91646,Private room,90,3,17,340
5723,Brooklyn,40.70732,-73.91926,Private room,65,1,32,188
5724,Brooklyn,40.6956,-73.94827,Private room,65,1,357,321
5725,Manhattan,40.80849,-73.9446,Entire home/apt,131,3,10,12
5726,Brooklyn,40.69917,-73.93146,Entire home/apt,150,1,3,0
5727,Brooklyn,40.7095,-73.94945,Private room,55,2,86,38
5728,Brooklyn,40.67412,-73.93833000000001,Private room,70,5,92,148
5729,Queens,40.756370000000004,-73.92132,Entire home/apt,160,2,1,0
5730,Brooklyn,40.6942,-73.95269,Entire home/apt,95,7,69,0
5731,Manhattan,40.81619,-73.94003000000001,Entire home/apt,99,3,5,0
5732,Manhattan,40.7244,-73.99763,Entire home/apt,500,3,3,0
5733,Brooklyn,40.69358,-73.91914,Private room,35,15,1,0
5734,Queens,40.7078,-73.90177,Private room,50,21,38,245
5735,Brooklyn,40.675990000000006,-73.93995,Private room,77,5,108,129
5736,Brooklyn,40.719609999999996,-73.95837,Entire home/apt,380,3,105,264
5737,Brooklyn,40.642509999999994,-73.9597,Private room,65,30,0,365
5738,Manhattan,40.718140000000005,-73.98411,Entire home/apt,150,60,9,210
5739,Manhattan,40.76239,-73.99226999999999,Entire home/apt,125,30,0,331
5740,Brooklyn,40.68312,-73.92506999999999,Entire home/apt,199,3,82,269
5741,Brooklyn,40.70969,-73.96225,Private room,150,1,12,180
5742,Manhattan,40.73314,-74.00475,Entire home/apt,145,3,11,0
5743,Brooklyn,40.67196,-73.93824000000001,Private room,70,7,20,364
5744,Brooklyn,40.684540000000005,-73.93178,Entire home/apt,120,30,131,336
5745,Manhattan,40.806059999999995,-73.95061,Private room,86,3,34,359
5746,Manhattan,40.7661,-73.9573,Entire home/apt,139,2,160,248
5747,Brooklyn,40.62433,-74.02892,Private room,85,2,1,0
5748,Manhattan,40.77065,-73.95064,Entire home/apt,94,30,15,309
5749,Brooklyn,40.69389,-73.93058,Entire home/apt,116,2,148,0
5750,Brooklyn,40.66018,-73.96005,Private room,72,1,229,20
5751,Brooklyn,40.67925,-73.97463,Entire home/apt,95,4,0,0
5752,Brooklyn,40.69525,-73.93768,Private room,100,1,0,0
5753,Manhattan,40.74643,-73.97536,Entire home/apt,200,1,1,0
5754,Brooklyn,40.69233,-73.90579,Private room,72,1,360,66
5755,Manhattan,40.864959999999996,-73.9262,Entire home/apt,100,3,15,0
5756,Manhattan,40.72149,-73.99815,Entire home/apt,900,3,10,0
5757,Queens,40.74944,-73.91360999999999,Private room,80,2,76,102
5758,Brooklyn,40.72401,-73.94015999999999,Entire home/apt,75,2,0,0
5759,Manhattan,40.76169,-73.95682,Entire home/apt,92,4,179,245
5760,Manhattan,40.72956,-73.98275,Entire home/apt,160,3,0,0
5761,Brooklyn,40.62735,-73.95704,Private room,50,7,7,364
5762,Manhattan,40.73062,-73.99122,Entire home/apt,350,2,0,0
5763,Brooklyn,40.6656,-73.98575,Entire home/apt,135,2,128,245
5764,Manhattan,40.709559999999996,-74.01341,Entire home/apt,160,7,3,0
5765,Manhattan,40.7444,-73.98031,Entire home/apt,270,1,0,0
5766,Brooklyn,40.6789,-73.94001,Entire home/apt,129,1,223,230
5767,Manhattan,40.732929999999996,-73.99781999999999,Entire home/apt,180,1250,2,365
5768,Manhattan,40.725770000000004,-73.99337,Entire home/apt,350,2,0,0
5769,Brooklyn,40.71564,-73.95107,Private room,75,1,10,0
5770,Brooklyn,40.664229999999996,-73.99565,Entire home/apt,119,5,6,0
5771,Staten Island,40.634809999999995,-74.09591,Entire home/apt,99,7,35,326
5772,Brooklyn,40.66066,-73.95965,Entire home/apt,120,1,4,0
5773,Brooklyn,40.674170000000004,-73.94028,Private room,73,5,102,147
5774,Brooklyn,40.68526,-73.97154,Entire home/apt,500,7,11,173
5775,Manhattan,40.73473,-73.99244,Entire home/apt,225,1,1,0
5776,Brooklyn,40.66302,-73.95198,Entire home/apt,275,3,3,0
5777,Queens,40.769890000000004,-73.90735,Private room,50,1,127,52
5778,Manhattan,40.71329,-73.99047,Shared room,40,1,88,197
5779,Brooklyn,40.71543,-73.94159,Entire home/apt,115,2,3,0
5780,Bronx,40.883990000000004,-73.89502,Entire home/apt,110,2,0,0
5781,Brooklyn,40.67658,-73.9444,Private room,100,1,0,83
5782,Brooklyn,40.717220000000005,-73.95862,Entire home/apt,150,2,4,0
5783,Brooklyn,40.72309,-73.93767,Entire home/apt,200,3,95,358
5784,Manhattan,40.84261,-73.93771,Entire home/apt,75,7,1,0
5785,Queens,40.70729,-73.91696999999999,Entire home/apt,98,2,157,15
5786,Brooklyn,40.68266,-73.91971,Entire home/apt,199,2,222,238
5787,Manhattan,40.81422,-73.94844,Entire home/apt,109,2,11,0
5788,Manhattan,40.80653,-73.95194000000001,Entire home/apt,110,4,26,14
5789,Brooklyn,40.69527,-73.94785999999999,Private room,59,1,350,328
5790,Brooklyn,40.70071,-73.92913,Entire home/apt,95,2,19,172
5791,Manhattan,40.74588,-74.00055,Entire home/apt,159,1,202,234
5792,Manhattan,40.755759999999995,-73.96548,Entire home/apt,225,1,10,0
5793,Brooklyn,40.684490000000004,-73.98524,Entire home/apt,195,2,116,260
5794,Queens,40.76273,-73.90579,Entire home/apt,96,1,196,316
5795,Brooklyn,40.68275,-73.96542,Entire home/apt,73,2,7,0
5796,Manhattan,40.78883,-73.97616,Private room,88,1,319,251
5797,Brooklyn,40.70013,-73.95165,Entire home/apt,90,2,3,0
5798,Brooklyn,40.6721,-73.95371999999999,Entire home/apt,99,5,16,0
5799,Brooklyn,40.71752,-73.94187,Shared room,150,1,0,0
5800,Brooklyn,40.68724,-73.94218000000001,Private room,35,2,11,11
5801,Brooklyn,40.68542,-73.95184,Entire home/apt,1050,3,121,327
5802,Brooklyn,40.66752,-73.98892,Entire home/apt,175,2,76,308
5803,Manhattan,40.747240000000005,-74.00355,Entire home/apt,395,4,73,2
5804,Queens,40.7426,-73.90706,Entire home/apt,195,3,124,305
5805,Brooklyn,40.62605,-74.03014,Private room,49,10,7,281
5806,Manhattan,40.77065,-73.95163000000001,Entire home/apt,150,1,0,0
5807,Manhattan,40.782779999999995,-73.97437,Entire home/apt,250,1,1,0
5808,Brooklyn,40.7068,-73.93772,Entire home/apt,150,4,17,170
5809,Manhattan,40.77715,-73.98235,Entire home/apt,260,1,0,0
5810,Queens,40.73303,-73.79736,Entire home/apt,100,7,9,268
5811,Manhattan,40.78627,-73.94315999999999,Private room,55,30,4,339
5812,Manhattan,40.74366,-73.99721,Entire home/apt,275,3,1,0
5813,Manhattan,40.73408,-74.0057,Private room,110,1,0,0
5814,Brooklyn,40.69191,-73.96624,Entire home/apt,150,3,0,0
5815,Brooklyn,40.69108,-73.91443000000001,Private room,80,2,129,346
5816,Queens,40.6852,-73.7962,Entire home/apt,89,1,352,359
5817,Manhattan,40.72685,-73.98638000000001,Entire home/apt,280,2,92,173
5818,Queens,40.74808,-73.90404000000001,Private room,100,1,0,0
5819,Brooklyn,40.73235,-73.95106,Private room,80,2,0,0
5820,Brooklyn,40.694959999999995,-73.93949,Private room,70,1,110,323
5821,Brooklyn,40.73093,-73.95331999999999,Private room,75,1,1,0
5822,Brooklyn,40.71295,-73.9623,Private room,80,1,52,297
5823,Manhattan,40.8544,-73.93091,Shared room,41,1,1,0
5824,Manhattan,40.73545,-74.00097,Entire home/apt,195,4,1,0
5825,Manhattan,40.77881,-73.97726,Entire home/apt,250,2,5,0
5826,Manhattan,40.73175,-73.98756,Entire home/apt,96,1,198,169
5827,Manhattan,40.70948,-74.00654,Private room,98,7,23,116
5828,Brooklyn,40.69271,-73.92535,Entire home/apt,140,4,120,100
5829,Brooklyn,40.70028,-73.95439,Private room,99,1,0,0
5830,Manhattan,40.73539,-74.00818000000001,Entire home/apt,175,2,105,276
5831,Manhattan,40.78245,-73.98163000000001,Entire home/apt,120,6,5,0
5832,Manhattan,40.8049,-73.96558,Private room,89,1,46,363
5833,Brooklyn,40.69863,-73.91235,Private room,90,3,0,0
5834,Brooklyn,40.68796,-73.97735,Entire home/apt,178,3,11,32
5835,Brooklyn,40.67027,-73.94033,Entire home/apt,210,6,27,302
5836,Manhattan,40.81774,-73.94595,Entire home/apt,150,4,82,46
5837,Manhattan,40.80936,-73.94454,Entire home/apt,149,2,82,215
5838,Manhattan,40.76443,-73.99184,Entire home/apt,225,3,2,0
5839,Manhattan,40.7681,-73.98376999999999,Entire home/apt,2695,1,0,0
5840,Queens,40.65443,-73.84605,Entire home/apt,63,30,2,362
5841,Manhattan,40.76842,-73.98589,Entire home/apt,150,1,0,0
5842,Brooklyn,40.67566,-73.93944,Entire home/apt,106,3,15,0
5843,Brooklyn,40.68562,-73.9693,Entire home/apt,165,10,36,328
5844,Brooklyn,40.67009,-73.9329,Private room,75,2,25,365
5845,Queens,40.764959999999995,-73.91169000000001,Private room,39,31,5,310
5846,Queens,40.758959999999995,-73.9153,Private room,39,30,13,341
5847,Brooklyn,40.68676,-73.95801,Shared room,30,2,13,339
5848,Manhattan,40.72156,-73.98711999999999,Private room,70,1,2,0
5849,Manhattan,40.796079999999996,-73.93819,Private room,100,3,140,66
5850,Queens,40.763690000000004,-73.92291,Entire home/apt,125,2,112,0
5851,Queens,40.76386,-73.91001999999999,Entire home/apt,110,3,3,342
5852,Brooklyn,40.73527,-73.95398,Entire home/apt,145,2,7,0
5853,Manhattan,40.76845,-73.9832,Private room,112,3,126,230
5854,Brooklyn,40.6869,-73.92254,Private room,69,1,121,286
5855,Manhattan,40.767509999999994,-73.96309000000001,Entire home/apt,300,4,57,0
5856,Manhattan,40.75195,-73.97191,Private room,260,2,1,177
5857,Queens,40.704390000000004,-73.91111,Private room,49,2,37,298
5858,Manhattan,40.71743,-74.00623,Entire home/apt,215,2,23,187
5859,Manhattan,40.80751,-73.94097,Entire home/apt,200,3,162,208
